SourceFile,Tags,Unique Tags
Dicks Sporting Goods/wetransfer-11ce8d/00_DeSotoBeach_Env_19ESpring_0022.JPG,"american flags,horizon,sunrises,sunsets,stylized,silhouette,dramatic","sunrises,stylized,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_DeSotoBeach_Env_19ESpring_0023.JPG,"american flags,horizon,sunrises,sunsets,stylized,silhouette,dramatic","sunrises,stylized,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_DeSotoBeach_Env_19ESpring_0024.JPG,"american flags,horizon,sunrises,sunsets,stylized,silhouette,dramatic","sunrises,stylized,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_DeSotoBeach_Env_19ESpring_0025.JPG,"american flags,horizon,sunrises,sunsets,stylized,silhouette,dramatic","sunrises,stylized,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_DeSotoBeach_Env_19ESpring_0026.JPG,"american flags,horizon,sunrises,sunsets,stylized,silhouette,dramatic","sunrises,stylized,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_DeSotoBeach_Env_19ESpring_0027.JPG,"american flags,horizon,sunrises,sunsets,stylized,silhouette,dramatic","sunrises,stylized,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_DeSotoBeach_Env_19ESpring_0028.JPG,"american flags,horizon,sunrises,sunsets,stylized,silhouette,dramatic","sunrises,stylized,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_DeSotoBeach_Env_19ESpring_0029.JPG,"american flags,horizon,sunrises,sunsets,stylized,silhouette,dramatic","sunrises,stylized,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_DeSotoBeach_Env_19ESpring_0030.JPG,"american flags,horizon,sunrises,sunsets,stylized,silhouette,dramatic","sunrises,stylized,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_DeSotoBeach_Env_19ESpring_0031.JPG,"american flags,horizon,sunrises,sunsets,stylized,silhouette,dramatic","sunrises,stylized,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_DeSotoBeach_Env_19ESpring_0032.JPG,"american flags,horizon,sunrises,sunsets,stylized,silhouette,dramatic","sunrises,stylized,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_DeSotoBeach_Env_19ESpring_0033.JPG,"american flags,horizon,sunrises,sunsets,stylized,silhouette,dramatic","sunrises,stylized,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_DeSotoBeach_Env_19ESpring_0034.JPG,"american flags,horizon,sunrises,sunsets,stylized,silhouette,dramatic","sunrises,stylized,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_DeSotoBeach_Env_19ESpring_0035.JPG,"american flags,horizon,sunrises,sunsets,stylized,silhouette,dramatic","sunrises,stylized,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_DeSotoBeach_Env_19ESpring_0036.JPG,"american flags,horizon,sunrises,sunsets,stylized,silhouette,dramatic","sunrises,stylized,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_DeSotoBeach_Env_19ESpring_0037.JPG,"american flags,horizon,sunrises,sunsets,stylized,silhouette,dramatic","sunrises,stylized,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_DeSotoBeach_Env_19ESpring_0038.JPG,"american flags,horizon,sunrises,sunsets,stylized,silhouette,dramatic","sunrises,stylized,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_DeSotoBeach_Env_19ESpring_0039.JPG,"american flags,horizon,sunrises,sunsets,stylized,silhouette,dramatic","sunrises,stylized,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_DeSotoBeach_Env_19ESpring_0040.JPG,"american flags,horizon,sunrises,sunsets,stylized,silhouette,dramatic","sunrises,stylized,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_DeSotoBeach_Env_19ESpring_0041.JPG,"american flags,horizon,sunrises,sunsets,stylized,silhouette,dramatic","sunrises,stylized,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_DeSotoBeach_Env_19ESpring_0042.JPG,"american flags,horizon,sunrises,sunsets,stylized,silhouette,dramatic","sunrises,stylized,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_DeSotoBeach_Env_19ESpring_0046.JPG,"horizon,sunrises,sunsets,dramatic,beaches,summer,walls,oceans,stylized,silhouette,trees,palm trees,sunlight,plants,grass","beaches,sunsets,stylized,trees,plants,sunrises,walls"
Dicks Sporting Goods/wetransfer-11ce8d/00_DeSotoBeach_Env_19ESpring_0047.JPG,"horizon,sunrises,sunsets,dramatic,beaches,summer,walls,ocean","beaches,sunrises,sunsets,walls"
Dicks Sporting Goods/wetransfer-11ce8d/00_DeSotoBeach_Env_19ESpring_0049.JPG,"horizon,sunrises,sunsets,dramatic,beaches,summer,walls,ocean","beaches,sunrises,sunsets,walls"
Dicks Sporting Goods/wetransfer-11ce8d/00_DeSotoBeach_Env_19ESpring_0050.JPG,"horizon,summer,oceans,shoreline,sand,waves",sand
Dicks Sporting Goods/wetransfer-11ce8d/00_DeSotoBeach_Env_19ESpring_0051.JPG,"horizon,summer,walls,stylized,silhouette,trees,palm trees,piers","trees,stylized,walls"
Dicks Sporting Goods/wetransfer-11ce8d/00_DeSotoBeach_Env_19ESpring_0056.JPG,"horizon,sunrises,sunsets,dramatic,beaches,summer,walls,stylized,silhouette,trees,palm trees,sunlight,plants,grass","beaches,sunsets,stylized,trees,plants,sunrises,walls"
Dicks Sporting Goods/wetransfer-11ce8d/00_DeSotoBeach_Env_19ESpring_0059.JPG,"horizon,summer,oceans,shoreline,sand,piers,fences,shadows,blue sky","fences,sand"
Dicks Sporting Goods/wetransfer-11ce8d/00_DeSotoBeach_Env_19ESpring_0062.JPG,"horizon,summer,oceans,shoreline,sand,piers,fences,shadows,blue sky","fences,sand"
Dicks Sporting Goods/wetransfer-11ce8d/00_DeSotoBeach_Env_19ESpring_0063.JPG,"horizon,summer,oceans,shoreline,sand,piers,fences,shadows,blue sky","fences,sand"
Dicks Sporting Goods/wetransfer-11ce8d/00_DeSotoBeach_Env_19ESpring_0064.JPG,"horizon,summer,oceans,shoreline,sand,piers,fences,shadows,blue sky","fences,sand"
Dicks Sporting Goods/wetransfer-11ce8d/00_DeSotoBeach_Env_19ESpring_0066.JPG,"blue sky,beaches,oceans,waves,bright,horizon",beaches
Dicks Sporting Goods/wetransfer-11ce8d/00_DwnTwnStPete_Env_19ESpring_0003.JPG,"trees,deciduous,sunlight,plants,leaves,leaf,bright,natural light","deciduous,plants,trees"
Dicks Sporting Goods/wetransfer-11ce8d/00_FortDeSoto_Env_19ESpring_0072.JPG,"close-up,dramatic,grainy,textured,stained,matte,cracked,walls,stone","cracked,walls,close-up"
Dicks Sporting Goods/wetransfer-11ce8d/00_FortDeSoto_Env_19ESpring_0073.JPG,"close-up,dramatic,grainy,textured,stained,matte,cracked,walls,stone","cracked,walls,close-up"
Dicks Sporting Goods/wetransfer-11ce8d/00_Gulfport_Env_19ESpring_0186.JPG,"basketball courts,basketball hoops,fences,plants,bushes,shrubs","fences,plants,basketball courts,basketball hoops"
Dicks Sporting Goods/wetransfer-11ce8d/00_Gulfport_Env_19ESpring_0187.JPG,"basketball courts,basketball hoops,fences,plants,grass,horizon,cities,city,urban areas","urban areas,basketball hoops,fences,basketball courts,plants"
Dicks Sporting Goods/wetransfer-11ce8d/00_JulianBLanePark_Env_19ESpring_0173.JPG,"cities,city,urban areas,bridges,sidewalks,metal","urban areas,sidewalks,metal"
Dicks Sporting Goods/wetransfer-11ce8d/00_JulianBLanePark_Env_19ESpring_0174.JPG,"cities,city,urban areas,bridges,sidewalks,metal","urban areas,sidewalks,metal"
Dicks Sporting Goods/wetransfer-11ce8d/00_JulianBLanePark_Env_19ESpring_0175.JPG,"cities,city,urban areas,bridges,sidewalks,metal","urban areas,sidewalks,metal"
Dicks Sporting Goods/wetransfer-11ce8d/00_JulianBLanePark_Env_19ESpring_0177.JPG,"cities,city,urban areas,bridges,sidewalks,metal","urban areas,sidewalks,metal"
Dicks Sporting Goods/wetransfer-11ce8d/00_JulianBLanePark_Env_19ESpring_0178.JPG,"cities,city,urban areas,bridges,sidewalks,metal","urban areas,sidewalks,metal"
Dicks Sporting Goods/wetransfer-11ce8d/00_PoeParking_Env_19ESpring_0181.JPG,"cities,city,urban areas,buildings,clouds,parking lots,shadows,concrete","concrete,urban areas,buildings"
Dicks Sporting Goods/wetransfer-11ce8d/00_PoeParking_Env_19ESpring_0183.JPG,"cities,city,urban areas,buildings,clouds,parking lots,shadows,concrete","concrete,urban areas,buildings"
Dicks Sporting Goods/wetransfer-11ce8d/00_StPeteBeach2_Env_19ESpring_0190.JPG,"clouds,sunrises,sunsets,oceans,dark,dramatic,shadows","sunrises,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_StPeteBeach2_Env_19ESpring_0191.JPG,"clouds,sunrises,sunsets,oceans,dark,dramatic,shadows","sunrises,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_StPeteBeach2_Env_19ESpring_0192.JPG,"clouds,sunrises,sunsets,oceans,dark,dramatic,shadows","sunrises,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_StPeteBeach2_Env_19ESpring_0193.JPG,"clouds,sunrises,sunsets,oceans,dark,dramatic,shadows","sunrises,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_StPeteBeach2_Env_19ESpring_0195.JPG,"clouds,sunrises,sunsets,oceans,dark,dramatic,shadows","sunrises,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_StPeteBeach2_Env_19ESpring_0196.JPG,"clouds,sunrises,sunsets,oceans,dark,dramatic,shadows","sunrises,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_StPeteBeach2_Env_19ESpring_0198.JPG,"clouds,sunrises,sunsets,oceans,dark,dramatic,shadows","sunrises,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_StPeteBeach2_Env_19ESpring_0199.JPG,"clouds,sunrises,sunsets,oceans,dark,dramatic,shadows","sunrises,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_StPeteBeach2_Env_19ESpring_0200.JPG,"clouds,sunrises,sunsets,oceans,dark,dramatic,shadows","sunrises,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_StPeteBeach2_Env_19ESpring_0202.JPG,"clouds,sunrises,sunsets,oceans,dark,dramatic,shadows","sunrises,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_StPeteBeach2_Env_19ESpring_0204.JPG,"clouds,sunrises,sunsets,oceans,dark,dramatic,shadows","sunrises,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_StPeteBeach2_Env_19ESpring_0206.JPG,"clouds,sunrises,sunsets,oceans,dark,dramatic,shadows","sunrises,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_StPeteBeach2_Env_19ESpring_0207.JPG,"clouds,sunrises,sunsets,oceans,dark,dramatic,shadows","sunrises,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_StPeteBeach2_Env_19ESpring_0211.JPG,"clouds,sunrises,sunsets,oceans,dark,dramatic,shadows","sunrises,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_StPeteBeach2_Env_19ESpring_0212.JPG,"clouds,sunrises,sunsets,oceans,dark,dramatic,shadows","sunrises,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_StPetesBeach3_Env_19ESpring_0240.JPG,"sand,textured,matte,beaches,footprints","beaches,sand"
Dicks Sporting Goods/wetransfer-11ce8d/00_StPetesBeach3_Env_19ESpring_0245.JPG,"plants,bushes,shrubs,leaves,leaf,close-up,grass","plants,close-up"
Dicks Sporting Goods/wetransfer-11ce8d/00_StPetesBeach3_Env_19ESpring_0250.JPG,"horizon,oceans,sand,rocks,beaches,shorelines,houses,plants,bushes,shrubs","beaches,sand,plants"
Dicks Sporting Goods/wetransfer-11ce8d/00_StPetesBeach3_Env_19ESpring_0253.JPG,"plants,bushes,shrubs,leaves,leaf,close-up,grass","plants,close-up"
Dicks Sporting Goods/wetransfer-11ce8d/00_StPetesBeach3_Env_19ESpring_0259.JPG,"trees,palm trees,textured,decorations,lights,decorative lights",trees
Dicks Sporting Goods/wetransfer-11ce8d/00_StPetesBeach3_Env_19ESpring_0260.JPG,"piers,oceans,american flags,fences,trees,palm trees","fences,trees"
Dicks Sporting Goods/wetransfer-11ce8d/00_TempleCatholic_Env_19ESpring_0076.JPG,"sunrises,sunsets,stylized,silhouette,stadium lights,athletic fields,dark","sunrises,stylized,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_TempleCatholic_Env_19ESpring_0078.JPG,"sunrises,sunsets,athletic fields,dark","sunrises,sunsets"
Dicks Sporting Goods/wetransfer-11ce8d/00_TempleCatholic_Env_19ESpring_0083.JPG,"athletic fields,dramatic,grass,football fields,yard lines,fog,tires,sunrises",sunrises
Dicks Sporting Goods/wetransfer-11ce8d/00_TempleCatholic_Env_19ESpring_0102.JPG,"athletic fields,dramatic,grass,football fields,yard lines,fog,tires,sunrises",sunrises
Dicks Sporting Goods/wetransfer-11ce8d/00_TempleCatholic_Env_19ESpring_0107.JPG,"athletic fields,dramatic,grass,football fields,yard lines,fog,tires,sunrises",sunrises
Dicks Sporting Goods/wetransfer-11ce8d/00_TempleCatholic_Env_19ESpring_0110.JPG,"athletic fields,dramatic,grass,football fields,yard lines,fog,tires,sunrises",sunrises
Dicks Sporting Goods/wetransfer-11ce8d/00_TempleCatholic_Env_19ESpring_0114.JPG,"athletic fields,dramatic,grass,football fields,yard lines,fog,tires,sunrises",sunrises
Dicks Sporting Goods/wetransfer-11ce8d/00_TempleCatholic_Env_19ESpring_0117.JPG,"athletic fields,dramatic,grass,football fields,yard lines,fog,tires,sunrises",sunrises
Dicks Sporting Goods/wetransfer-11ce8d/00_TempleCatholic_Env_19ESpring_0120.JPG,"athletic fields,dramatic,grass,football fields,yard lines,fog,tires,sunrises",sunrises
Dicks Sporting Goods/wetransfer-11ce8d/00_TempleCatholic_Env_19ESpring_0123.JPG,"athletic fields,dramatic,grass,football fields,yard lines,fog,sunrises,stadium lights,bleachers","sunrises,bleachers"
Dicks Sporting Goods/wetransfer-11ce8d/00_TempleCatholic_Env_19ESpring_0125.JPG,"athletic fields,dramatic,grass,football fields,yard lines,fog,sunrises,stadium lights,bleachers","sunrises,bleachers"
Dicks Sporting Goods/wetransfer-11ce8d/00_TempleCatholic_Env_19ESpring_0138.JPG,"athletic fields,dramatic,grass,football fields,yard lines,fog,tires,sunrises,stadium lights,bleachers","sunrises,bleachers"
Dicks Sporting Goods/wetransfer-11ce8d/00_TempleCatholic_Env_19ESpring_0140.JPG,"athletic fields,dramatic,grass,football fields,yard lines,fog,tires,sunrises,stadium lights,bleachers","sunrises,bleachers"
Dicks Sporting Goods/wetransfer-11ce8d/00_TempleCatholic_Env_19ESpring_0151.JPG,"athletic fields,dramatic,grass,football fields,fog,tires,sunrises,sunlight",sunrises
Dicks Sporting Goods/wetransfer-11ce8d/00_TempleCatholic_Env_19ESpring_0152.JPG,"athletic fields,grass,football fields,stadium lights,bleachers",bleachers
Dicks Sporting Goods/wetransfer-11ce8d/00_TempleCatholic_Env_19ESpring_0154.JPG,"athletic fields,bleachers",bleachers
Dicks Sporting Goods/wetransfer-11ce8d/00_TempleCatholic_Env_19ESpring_0155.JPG,"athletic fields,bleachers",bleachers
Dicks Sporting Goods/wetransfer-11ce8d/00_TempleCatholic_Env_19ESpring_0156.JPG,"athletic fields,bleachers",bleachers
Dicks Sporting Goods/wetransfer-11ce8d/00_TempleCatholic_Env_19ESpring_0157.JPG,"athletic fields,bleachers",bleachers
Dicks Sporting Goods/wetransfer-11ce8d/00_TempleCatholic_Env_19ESpring_0158.JPG,"athletic fields,bleachers",bleachers
Dicks Sporting Goods/wetransfer-11ce8d/00_TempleCatholic_Env_19ESpring_0159.JPG,"athletic fields,bleachers",bleachers
Dicks Sporting Goods/wetransfer-11ce8d/00_TempleCatholic_Env_19ESpring_0160.JPG,"textured,grass,close-up,bright",close-up
Dicks Sporting Goods/wetransfer-11ce8d/00_TempleCatholic_Env_19ESpring_0161.JPG,"textured,grass,close-up,bright",close-up
Dicks Sporting Goods/wetransfer-11ce8d/00_TempleCatholic_Env_19ESpring_0162.JPG,"athletic fields,grass,football fields,stadium lights,bleachers",bleachers
Dicks Sporting Goods/wetransfer-11ce8d/00_TempleCatholic_Env_19ESpring_0164.JPG,"textured,grass,close-up,bright,football fields,yard lines",close-up
Dicks Sporting Goods/wetransfer-11ce8d/00_TempleCatholic_Env_19ESpring_0165.JPG,"athletic fields,grass,football fields,stadium lights,bleachers",bleachers
Dicks Sporting Goods/wetransfer-11ce8d/00_TempleCatholic_Env_19ESpring_0166.JPG,"athletic fields,grass,football fields,stadium lights,bleachers",bleachers
Dicks Sporting Goods/wetransfer-11ce8d/00_TempleCatholic_Env_19ESpring_0169.JPG,"low angle,bleachers,fences,athletic fields,hurdles","fences,bleachers"
Dicks Sporting Goods/wetransfer-11ce8d/00_TempleCatholic_Env_19ESpring_0170.JPG,"athletic fields,bleachers,grass",bleachers
Dicks Sporting Goods/wetransfer-11ce8d/00_TempleCatholic_Env_19ESpring_0171.JPG,"athletic fields,grass,football fields,stadium lights,bleachers",bleachers
Dicks Sporting Goods/wetransfer-11ce8d/00_YborCity_Env_19ESpring_0213.JPG,"buildings,cities,city,urban areas,roads,streets,matte","urban areas,buildings,roads,streets"
Dicks Sporting Goods/wetransfer-11ce8d/00_YborCity_Env_19ESpring_0217.JPG,"cities,city,urban areas,roads,streets,brick,close-up","urban areas,roads,streets,close-up"
Dicks Sporting Goods/wetransfer-11ce8d/00_YborCity_Env_19ESpring_0220.JPG,"cities,city,urban areas,roads,streets,brick,overhead","urban areas,roads,streets"
Dicks Sporting Goods/wetransfer-11ce8d/00_YborCity_Env_19ESpring_0223.JPG,"cities,city,urban areas,stairs,steps,metal,textured,shadows,dramatic","urban areas,metal"
Dicks Sporting Goods/wetransfer-11ce8d/00_YborCity_Env_19ESpring_0225.JPG,"cities,city,urban areas,stairs,steps,metal,textured,shadows,dramatic","urban areas,metal"
Dicks Sporting Goods/wetransfer-11ce8d/00_YborCity_Env_19ESpring_0226.JPG,"cities,city,urban areas,stairs,steps,metal,textured,shadows,dramatic,close-up,macro","urban areas,metal,macro,close-up"
Dicks Sporting Goods/wetransfer-11ce8d/01_W_Calia_ExtTFStudio-Dec_19ESpring-Vid.Still001.jpg,"adults,1 person,caucasian,females,women,apparel,women's apparel,shirts,long sleeve shirts,meet and greet,pants,leggings,stripes,patterned,purses & tote bags,cities,city,urban areas,roads,streets,spring,high waisted,yoga mats,standing","caucasian,standing,adults,1 person,roads,urban areas,apparel,streets,women's apparel,spring,leggings,women,shirts,pants,females,long sleeve shirts"
Dicks Sporting Goods/wetransfer-11ce8d/01_W_Calia_ExtTFStudio-Dec_19ESpring-Vid.Still002.jpg,"adults,1 person,caucasian,females,women,footwear,women's footwear,sandals & slides,apparel,women's apparel,shirts,long sleeve shirts,meet and greet,pants,leggings,stripes,patterned,purses & tote bags,cities,city,urban areas,full length,roads,streets,buildings,spring,high waisted,yoga mats,walking,crosswalks,automobiles,cars","buildings,roads,1 person,women's apparel,women,footwear,long sleeve shirts,urban areas,apparel,women's footwear,streets,spring,walking,pants,females,caucasian,full length,adults,leggings,sandals & slides,shirts"
Dicks Sporting Goods/wetransfer-11ce8d/01_W_Calia_ExtTFStudio-Dec_19ESpring-Vid.Still003.jpg,"adults,1 person,caucasian,females,women,apparel,women's apparel,pants,leggings,stripes,patterned,cities,city,urban areas,roads,streets,sidewalks,spring,standing,close-up,macro,yoga mats,purses & tote bags,apparel detail,mesh","caucasian,standing,adults,1 person,roads,urban areas,apparel,macro,women's apparel,streets,spring,sidewalks,leggings,women,pants,females,close-up"
Dicks Sporting Goods/wetransfer-11ce8d/01_W_Calia_ExtTFStudio-Dec_19ESpring-Vid.Still004.jpg,"adults,1 person,caucasian,females,women,apparel,women's apparel,pants,leggings,stripes,patterned,cities,city,urban areas,roads,streets,sidewalks,spring,standing,close-up,macro,apparel detail,mesh,footwear,women's footwear,sandals & slides","standing,roads,1 person,women's apparel,sidewalks,women,footwear,urban areas,macro,apparel,women's footwear,streets,spring,pants,females,caucasian,adults,leggings,sandals & slides,close-up"
Dicks Sporting Goods/wetransfer-11ce8d/01_W_Calia_ExtTFStudio-Dec_19ESpring-Vid.Still005.jpg,"adults,1 person,caucasian,females,women,apparel,women's apparel,pants,leggings,stripes,patterned,cities,city,urban areas,roads,streets,sidewalks,spring,standing,close-up,macro,apparel detail,mesh","caucasian,standing,adults,1 person,roads,urban areas,apparel,macro,women's apparel,streets,spring,sidewalks,leggings,women,pants,females,close-up"
Dicks Sporting Goods/wetransfer-11ce8d/02_W_Calia_ExtTFGym-Jan_19ESpring-Vid.Still001.jpg,"adults,1 person,caucasian,females,women,spring,apparel,shirts,tee shirts,women's apparel,pants,sweatpants,sitting,accessories,hydration,waterbottles,yoga mats,restaurants,cities,city,urban areas,couches,sofas,coats & jackets","caucasian,adults,hydration,1 person,urban areas,apparel,women's apparel,spring,tee shirts,women,coats & jackets,waterbottles,sitting,accessories,pants,females,sweatpants,shirts"
Dicks Sporting Goods/wetransfer-11ce8d/02_W_Calia_ExtTFGym-Jan_19ESpring-Vid.Still002.jpg,"adults,1 person,caucasian,females,women,spring,apparel,shirts,tee shirts,women's apparel,pants,sweatpants,sitting,accessories,hydration,waterbottles,yoga mats,restaurants,cities,city,urban areas,couches,sofas,backpacks","caucasian,adults,hydration,1 person,urban areas,apparel,women's apparel,spring,tee shirts,women,waterbottles,backpacks,sitting,accessories,pants,females,sweatpants,shirts"
Dicks Sporting Goods/wetransfer-11ce8d/02_W_Calia_ExtTFGym-Jan_19ESpring-Vid.Still003.jpg,"adults,1 person,caucasian,females,women,spring,apparel,coats & jackets,women's apparel,pants,sweatpants,walking,accessories,hydration,waterbottles,yoga mats,cities,city,urban areas,backpacks,stairs,steps,graffiti,portrait","caucasian,adults,1 person,urban areas,apparel,women's apparel,spring,portrait,walking,women,coats & jackets,waterbottles,backpacks,accessories,pants,females,sweatpants,hydration"
Dicks Sporting Goods/wetransfer-11ce8d/02_W_Calia_ExtTFGym-Jan_19ESpring-Vid.Still004.jpg,"adults,1 person,caucasian,females,women,spring,apparel,coats & jackets,women's apparel,pants,sweatpants,walking,accessories,hydration,waterbottles,yoga mats,cities,city,urban areas,backpacks,stairs,steps,graffiti,portrait","caucasian,adults,1 person,urban areas,apparel,women's apparel,spring,portrait,walking,women,coats & jackets,waterbottles,backpacks,accessories,pants,females,sweatpants,hydration"
Dicks Sporting Goods/wetransfer-11ce8d/02_W_Calia_ExtTFGym-Jan_19ESpring-Vid.Still005.jpg,"adults,1 person,caucasian,females,women,spring,apparel,shirts,tee shirts,women's apparel,pants,sweatpants,walking,accessories,hydration,waterbottles,yoga mats,cities,city,urban areas,full length,footwear,women's footwear,sandals & slides,sidewalks,sunglasses","waterbottles,sweatpants,1 person,women's apparel,tee shirts,sidewalks,women,footwear,urban areas,apparel,women's footwear,spring,sunglasses,walking,accessories,pants,females,caucasian,full length,adults,sandals & slides,shirts,hydration"
Dicks Sporting Goods/wetransfer-11ce8d/02_W_Calia_ExtTFGym-Jan_19ESpring-Vid.Still006.jpg,"adults,1 person,caucasian,females,women,spring,apparel,shirts,tee shirts,women's apparel,pants,sweatpants,cities,city,urban areas,close-up,macro","caucasian,adults,1 person,macro,apparel,urban areas,spring,women's apparel,tee shirts,women,shirts,pants,females,sweatpants,close-up"
Dicks Sporting Goods/wetransfer-11ce8d/02_W_Calia_ExtTFGym-Jan_19ESpring-Vid.Still007.jpg,"adults,1 person,caucasian,females,women,spring,apparel,coats & jackets,women's apparel,pants,sweatpants,cities,city,urban areas,close-up,macro","caucasian,adults,1 person,macro,apparel,urban areas,spring,women's apparel,women,coats & jackets,pants,females,sweatpants,close-up"
Dicks Sporting Goods/wetransfer-11ce8d/03_W_Calia_PlusOutdoor-Jan_19ESpring-Vid.Still001.JPG,"adults,1 person,african american,females,women,athletes,fitness enthusiasts,spring,exercising,bright,apparel,women's apparel,shirts,tank tops,pants,leggings,capris & crop pants,floral prints,stripes,high waisted,buildings,grungy,metal,portrait,ropes,battle ropes,combat ropes,conditioning ropes","tank tops,adults,1 person,buildings,apparel,african american,leggings,women's apparel,floral prints,spring,portrait,athletes,women,shirts,pants,females,fitness enthusiasts,metal"
Dicks Sporting Goods/wetransfer-11ce8d/03_W_Calia_PlusOutdoor-Jan_19ESpring-Vid.Still002.JPG,"adults,1 person,african american,females,women,athletes,fitness enthusiasts,spring,exercising,bright,apparel,women's apparel,shirts,tank tops,pants,leggings,capris & crop pants,floral prints,stripes,high waisted,buildings,grungy,metal,portrait,ropes,battle ropes,combat ropes,conditioning ropes,weights,plates","tank tops,adults,1 person,buildings,apparel,african american,leggings,women's apparel,floral prints,spring,portrait,athletes,women,shirts,pants,females,fitness enthusiasts,metal"
Dicks Sporting Goods/wetransfer-11ce8d/03_W_Calia_PlusOutdoor-Jan_19ESpring-Vid.Still003.JPG,"adults,1 person,african american,females,women,athletes,fitness enthusiasts,spring,exercising,bright,apparel,women's apparel,shirts,tank tops,pants,leggings,capris & crop pants,floral prints,stripes,high waisted,buildings,grungy,metal,portrait,weights,smash balls,slam balls","tank tops,adults,1 person,buildings,apparel,african american,leggings,women's apparel,floral prints,spring,portrait,athletes,women,shirts,pants,females,fitness enthusiasts,metal"
